,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
62,20155038784,10,THEFT                         ,Theft,2-Sep-15,10000 RESEARCH BLVD SVRD SB                                                                         ,N,14-Sep-15,A,78759,17.22,3111978,10115826,0,0
63,20155039013,10,BURGLARY OF VEHICLE           ,Theft,3-Sep-15,10000 RESEARCH BLVD SVRD SB                                                                         ,N,7-Sep-15,A,78759,17.22,3111978,10115826,0,0
64,20155041286,10,THEFT                         ,Theft,18-Sep-15,10000 RESEARCH BLVD SVRD SB                                                                         ,,,A,78759,17.22,3111978,10115826,0,0
65,20155048263,10,BURGLARY OF VEHICLE           ,Theft,2-Nov-15,10000 RESEARCH BLVD SVRD SB                                                                         ,N,3-Nov-15,A,78759,17.22,3111978,10115826,0,0
66,20155050702,10,BURGLARY OF VEHICLE           ,Theft,17-Nov-15,10000 RESEARCH BLVD SVRD SB                                                                         ,N,18-Nov-15,A,78759,17.22,3111978,10115826,0,0
67,20155051125,10,BURGLARY OF VEHICLE           ,Theft,20-Nov-15,10000 RESEARCH BLVD SVRD SB                                                                         ,N,20-Nov-15,A,78759,17.22,3111978,10115826,0,0
68,20155053973,6,THEFT                         ,Theft,10-Dec-15,10000 SPECTRUM DR                                                                                   ,N,2-Feb-16,A,78717,205.08,3101049,10148343,30.48086072,-97.77404312
69,20155001116,4,THEFT                         ,Theft,8-Jan-15,10001 BROWNIE DR                                                                                    ,N,24-Feb-15,E,78753,18.23,3131449,10106411,30.3649565,-97.6858565
70,20155041643,4,THEFT                         ,Theft,21-Sep-15,10001 FAYLIN DR                                                                                     ,,,E,78753,18.33,3135407,10104475,30.3594065,-97.67344035
71,20158001456,4,THEFT                         ,Theft,30-Apr-15,10001 MIDDLE FISKVILLE RD                                                                           ,N,8-Jun-15,E,78753,18.33,3132645,10105779,30.363174,-97.6821135
